FromAddress,ToCity,ToState,PackageSize,Cost,ShippingTimeDays,Service
Atlanta,Allentown,PA,Size S,7.45,2,UPS® Ground
Atlanta,Allentown,PA,Size M,8.86,2,UPS® Ground
Atlanta,Allentown,PA,Size L,14.1,2,UPS® Ground
Atlanta,Princeton,NJ,Size S,7.36,2,UPS® Ground
Atlanta,Princeton,NJ,Size M,8.77,2,UPS® Ground
Atlanta,Princeton,NJ,Size L,14.1,2,UPS® Ground
Atlanta,New Haven,CT,Size S,7.36,2,UPS® Ground
Atlanta,New Haven,CT,Size M,8.77,2,UPS® Ground
Atlanta,New Haven,CT,Size L,14.1,2,UPS® Ground
Atlanta,Providence,RI,Size S,7.45,2,UPS® Ground
Atlanta,Providence,RI,Size M,8.86,2,UPS® Ground
Atlanta,Providence,RI,Size L,14.1,2,UPS® Ground
Atlanta,Burlington,VT,Size S,7.36,2,UPS® Ground
Atlanta,Burlington,VT,Size M,8.77,2,UPS® Ground
Atlanta,Burlington,VT,Size L,14.1,2,UPS® Ground
Atlanta,Concord,NH,Size S,7.36,2,UPS® Ground
Atlanta,Concord,NH,Size M,8.77,2,UPS® Ground
Atlanta,Concord,NH,Size L,14.1,2,UPS® Ground
Atlanta,Ithaca,NY,Size S,7.36,2,UPS® Ground
Atlanta,Ithaca,NY,Size M,8.77,2,UPS® Ground
Atlanta,Ithaca,NY,Size L,14.1,2,UPS® Ground
Atlanta,Springfield,MA,Size S,7.36,2,UPS® Ground
Atlanta,Springfield,MA,Size M,8.77,2,UPS® Ground
Atlanta,Springfield,MA,Size L,14.1,2,UPS® Ground
Atlanta,Bangor,ME,Size S,8.36,2,UPS® Ground
Atlanta,Bangor,ME,Size M,10.31,2,UPS® Ground
Atlanta,Bangor,ME,Size L,15.29,2,UPS® Ground
Atlanta,Greenville,SC,Size S,6.09,1,UPS® Ground
Atlanta,Greenville,SC,Size M,7.26,1,UPS® Ground
Atlanta,Greenville,SC,Size L,8.94,1,UPS® Ground
Atlanta,Savannah,GA,Size S,6.56,1,UPS® Ground
Atlanta,Savannah,GA,Size M,8.24,1,UPS® Ground
Atlanta,Savannah,GA,Size L,9.94,1,UPS® Ground
Atlanta,Huntsville,AL,Size S,6.48,1,UPS® Ground
Atlanta,Huntsville,AL,Size M,7.79,1,UPS® Ground
Atlanta,Huntsville,AL,Size L,8.94,1,UPS® Ground
Atlanta,Gulfport,MS,Size S,6.69,2,UPS® Ground
Atlanta,Gulfport,MS,Size M,8.69,2,UPS® Ground
Atlanta,Gulfport,MS,Size L,10.54,2,UPS® Ground
Atlanta,Chattanooga,TN,Size S,6.09,1,UPS® Ground
Atlanta,Chattanooga,TN,Size M,7.26,1,UPS® Ground
Atlanta,Chattanooga,TN,Size L,8.94,1,UPS® Ground
Atlanta,Asheville,NC,Size S,6.39,2,UPS® Ground
Atlanta,Asheville,NC,Size M,7.4,2,UPS® Ground
Atlanta,Asheville,NC,Size L,9.94,2,UPS® Ground
Atlanta,Tallahassee,FL,Size S,6.39,2,UPS® Ground
Atlanta,Tallahassee,FL,Size M,7.4,2,UPS® Ground
Atlanta,Tallahassee,FL,Size L,9.94,2,UPS® Ground
Atlanta,Roanoke,VA,Size S,6.52,2,UPS® Ground
Atlanta,Roanoke,VA,Size M,7.91,2,UPS® Ground
Atlanta,Roanoke,VA,Size L,10.54,2,UPS® Ground
Atlanta,Morgantown,WV,Size S,6.52,2,UPS® Ground
Atlanta,Morgantown,WV,Size M,7.91,2,UPS® Ground
Atlanta,Morgantown,WV,Size L,10.54,2,UPS® Ground
Atlanta,Toledo,OH,Size S,6.69,2,UPS® Ground
Atlanta,Toledo,OH,Size M,8.69,2,UPS® Ground
Atlanta,Toledo,OH,Size L,10.54,2,UPS® Ground
Atlanta,Lansing,MI,Size S,7.45,2,UPS® Ground
Atlanta,Lansing,MI,Size M,8.86,2,UPS® Ground
Atlanta,Lansing,MI,Size L,14.1,2,UPS® Ground
Atlanta,Des Moines,IA,Size S,7.36,2,UPS® Ground
Atlanta,Des Moines,IA,Size M,8.77,2,UPS® Ground
Atlanta,Des Moines,IA,Size L,14.1,2,UPS® Ground
Atlanta,Duluth,MN,Size S,7.45,2,UPS® Ground
Atlanta,Duluth,MN,Size M,8.86,2,UPS® Ground
Atlanta,Duluth,MN,Size L,14.1,2,UPS® Ground
Atlanta,Peoria,IL,Size S,6.52,2,UPS® Ground
Atlanta,Peoria,IL,Size M,7.91,2,UPS® Ground
Atlanta,Peoria,IL,Size L,10.54,2,UPS® Ground
Atlanta,Green Bay,WI,Size S,7.36,2,UPS® Ground
Atlanta,Green Bay,WI,Size M,8.77,2,UPS® Ground
Atlanta,Green Bay,WI,Size L,14.1,2,UPS® Ground
Atlanta,Sioux Falls,SD,Size S,7.36,3,UPS® Ground
Atlanta,Sioux Falls,SD,Size M,8.77,3,UPS® Ground
Atlanta,Sioux Falls,SD,Size L,14.1,3,UPS® Ground
Atlanta,Wichita,KS,Size S,7.36,2,UPS® Ground
Atlanta,Wichita,KS,Size M,8.77,2,UPS® Ground
Atlanta,Wichita,KS,Size L,14.1,2,UPS® Ground
Atlanta,Bloomington,IN,Size S,6.52,2,UPS® Ground
Atlanta,Bloomington,IN,Size M,7.91,2,UPS® Ground
Atlanta,Bloomington,IN,Size L,10.54,2,UPS® Ground
