FromAddress,ToCity,ToState,PackageSize,Cost,ShippingTimeDays,Service
Ontario,Brooklyn,NY,Size L,17.29,4,UPS® Ground
Ontario,Phoenix,AZ,Size L,14.1,2,UPS® Ground
Ontario,Houston,TX,Size L,16.29,3,UPS® Ground
Ontario,San Antonio,TX,Size L,16.29,3,UPS® Ground
Ontario,Jacksonville,FL,Size L,17.29,4,UPS® Ground
Ontario,Chicago,IL,Size L,17.29,3,UPS® Ground
Ontario,Dallas,TX,Size L,16.29,3,UPS® Ground
Ontario,Wilmington,DE,Size L,17.29,4,UPS® Ground
Ontario,Austin,TX,Size L,15.29,3,UPS® Ground
Ontario,Canton,OH,Size L,17.29,4,UPS® Ground
Ontario,Charlotte,NC,Size L,17.29,4,UPS® Ground
Ontario,New York,NY,Size L,17.29,4,UPS® Ground
Ontario,Atlanta,GA,Size L,17.29,4,UPS® Ground
Ontario,Franklin,TN,Size L,17.29,4,UPS® Ground
Ontario,Lexington,KY,Size L,17.29,4,UPS® Ground
Ontario,Orlando,FL,Size L,17.29,4,UPS® Ground
Ontario,Rochester,NY,Size L,17.29,5,UPS® Ground
Ontario,Las Vegas,NV,Size L,9.94,1,UPS® Ground
Ontario,Louisville,KY,Size L,17.29,4,UPS® Ground
Ontario,Marietta,GA,Size L,17.29,4,UPS® Ground
Ontario,Colorado Springs,CO,Size L,14.1,2,UPS® Ground
Ontario,Columbus,OH,Size L,17.29,4,UPS® Ground
Ontario,Marble Falls,TX,Size L,15.29,3,UPS® Ground
Ontario,Tampa,FL,Size L,17.29,4,UPS® Ground
Ontario,San Diego,CA,Size L,8.94,1,UPS® Ground
Ontario,Columbia,SC,Size L,17.29,4,UPS® Ground
Ontario,Greenville,SC,Size L,17.29,4,UPS® Ground
Ontario,Lebanon,TN,Size L,17.29,4,UPS® Ground
Ontario,Salem,OR,Size L,14.1,3,UPS® Ground
Ontario,Cleveland,OH,Size L,17.29,4,UPS® Ground
Ontario,Denver,CO,Size L,14.1,3,UPS® Ground
Ontario,Omaha,NE,Size L,15.29,4,UPS® Ground
Ontario,Portland,OR,Size L,14.1,3,UPS® Ground
Ontario,Raleigh,NC,Size L,17.29,4,UPS® Ground
Ontario,Richmond,VA,Size L,17.29,4,UPS® Ground
Ontario,Jackson,MS,Size L,16.29,4,UPS® Ground
Ontario,Albany,NY,Size L,17.29,5,UPS® Ground
Ontario,Fort Worth,TX,Size L,15.29,3,UPS® Ground
Ontario,Oklahoma City,OK,Size L,15.29,3,UPS® Ground
Ontario,Chesapeake,VA,Size L,17.29,4,UPS® Ground
Ontario,Miami,FL,Size L,17.29,4,UPS® Ground
Ontario,Milford,CT,Size L,17.29,5,UPS® Ground
Ontario,Pittsburgh,PA,Size L,17.29,4,UPS® Ground
Ontario,San Francisco,CA,Size L,10.54,2,UPS® Ground
Ontario,San Jose,CA,Size L,14.1,2,UPS® Ground
Ontario,Tucson,AZ,Size L,10.54,2,UPS® Ground
Ontario,Virginia Beach,VA,Size L,17.29,4,UPS® Ground
Ontario,Albuquerque,NM,Size L,14.1,2,UPS® Ground
Ontario,Gilbert,AZ,Size L,14.1,2,UPS® Ground
Ontario,Springfield,IL,Size L,16.29,4,UPS® Ground
Ontario,Alexandria,VA,Size L,17.29,4,UPS® Ground
Ontario,Kansas City,MO,Size L,15.29,4,UPS® Ground
Ontario,Knoxville,TN,Size L,17.29,4,UPS® Ground
Ontario,Lakewood,CO,Size L,14.1,2,UPS® Ground
Ontario,Nashville,TN,Size L,16.29,4,UPS® Ground
Ontario,Saint Louis,MO,Size L,16.29,4,UPS® Ground
Ontario,Seattle,WA,Size L,15.29,3,UPS® Ground
Oklahoma City,Brooklyn,NY,Size L,15.29,4,UPS® Ground
Oklahoma City,Phoenix,AZ,Size L,14.1,3,UPS® Ground
Oklahoma City,Houston,TX,Size L,14.1,2,UPS® Ground
Oklahoma City,San Antonio,TX,Size L,10.54,2,UPS® Ground
Oklahoma City,Jacksonville,FL,Size L,14.1,3,UPS® Ground
Oklahoma City,Chicago,IL,Size L,14.1,2,UPS® Ground
Oklahoma City,Dallas,TX,Size L,9.94,2,UPS® Ground
Oklahoma City,Wilmington,DE,Size L,15.29,3,UPS® Ground
Oklahoma City,Austin,TX,Size L,10.54,2,UPS® Ground
Oklahoma City,Canton,OH,Size L,14.1,3,UPS® Ground
Oklahoma City,Charlotte,NC,Size L,14.1,3,UPS® Ground
Oklahoma City,New York,NY,Size L,15.29,4,UPS® Ground
Oklahoma City,Atlanta,GA,Size L,14.1,3,UPS® Ground
Oklahoma City,Franklin,TN,Size L,10.54,2,UPS® Ground
Oklahoma City,Lexington,KY,Size L,14.1,3,UPS® Ground
Oklahoma City,Orlando,FL,Size L,15.29,3,UPS® Ground
Oklahoma City,Rochester,NY,Size L,15.29,3,UPS® Ground
Oklahoma City,Las Vegas,NV,Size L,15.29,3,UPS® Ground
Oklahoma City,Louisville,KY,Size L,14.1,3,UPS® Ground
Oklahoma City,Marietta,GA,Size L,14.1,3,UPS® Ground
Oklahoma City,Colorado Springs,CO,Size L,10.54,2,UPS® Ground
Oklahoma City,Columbus,OH,Size L,14.1,3,UPS® Ground
